Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Doctor Directory,Firefox 65.0,,,2019-04-26 16:25:08,2019-04-26 16:25:25,16.369s,PASSED
,,,,,,,
Test Cases/Login to admin,Firefox 65.0,,,2019-04-26 16:25:09,2019-04-26 16:25:20,11.131s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-04-26 16:25:09,2019-04-26 16:25:16,6.982s,PASSED
navigateToUrl(url_admin),Firefox 65.0,,,2019-04-26 16:25:16,2019-04-26 16:25:19,2.605s,PASSED
waitForPageLoad(15),Firefox 65.0,,,2019-04-26 16:25:19,2019-04-26 16:25:19,0.092s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Username_username""), user_admin)",Firefox 65.0,,,2019-04-26 16:25:19,2019-04-26 16:25:19,0.179s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Password_password""), pw_admin)",Firefox 65.0,,,2019-04-26 16:25:19,2019-04-26 16:25:19,0.105s,PASSED
"click(findTestObject(""Page_Log in  Django site admin/input""))",Firefox 65.0,,,2019-04-26 16:25:19,2019-04-26 16:25:20,0.705s,PASSED
,,,,,,,
Test Cases/Add test Doctor,Firefox 65.0,,,2019-04-26 16:25:20,2019-04-26 16:25:24,3.627s,PASSED
navigateToUrl(url_dr_import),Firefox 65.0,,,2019-04-26 16:25:20,2019-04-26 16:25:20,0.244s,PASSED
"uploadFile(findTestObject(""Page_Import From CSV/input_File_file upload""), ""/Users/mirabel/git/roph-testing/media/roph_test_dr_import.csv"")",Firefox 65.0,,,2019-04-26 16:25:20,2019-04-26 16:25:20,0.082s,PASSED
"click(findTestObject(""Page_Import From CSV/input submit import file""))",Firefox 65.0,,,2019-04-26 16:25:20,2019-04-26 16:25:24,3.119s,PASSED
waitForPageLoad(30),Firefox 65.0,,,2019-04-26 16:25:24,2019-04-26 16:25:24,0.019s,PASSED
